Grid Size,Error
10, 0.006941
20, 0.001738
40, 0.000437
Thread Num,Time
1, 0.021294
3, 0.009263
6, 0.007863
12, 0.015821
24, 0.667788
Scheduling,Time
static, 2.723912
dynamic, 2.676560
guided, 2.679833
Grid Size,Error
100, 0.000070
200, 0.000017
400, 0.000004
